variant,scale_pos_weight,oof_auc,best_threshold,oof_precision,oof_recall,oof_f1,oof_f2
XGBoost + old preprocessing,1.0,0.9114959114959115,0.28,0.7159090909090909,0.8181818181818182,0.7636363636363637,0.7954545454545454
XGBoost + old preprocessing,1.5,0.9111752445085778,0.37000000000000005,0.7209302325581395,0.8051948051948052,0.7607361963190185,0.7868020304568528
XGBoost + old preprocessing,2.0,0.9114959114959115,0.43000000000000005,0.7294117647058823,0.8051948051948052,0.7654320987654321,0.7888040712468194
XGBoost + old preprocessing,2.1,0.911014911014911,0.44000000000000006,0.7209302325581395,0.8051948051948052,0.7607361963190185,0.7868020304568528
XGBoost + old preprocessing,2.5,0.9098925765592432,0.45000000000000007,0.6888888888888889,0.8051948051948052,0.7425149700598802,0.7788944723618091
XGBoost + old preprocessing,3.0,0.9071669071669072,0.5000000000000001,0.7294117647058823,0.8051948051948052,0.7654320987654321,0.7888040712468194
XGBoost + log1p without scaling,1.0,0.9114959114959115,0.28,0.7159090909090909,0.8181818181818182,0.7636363636363637,0.7954545454545454
XGBoost + log1p without scaling,1.5,0.9111752445085778,0.37000000000000005,0.7209302325581395,0.8051948051948052,0.7607361963190185,0.7868020304568528
XGBoost + log1p without scaling,2.0,0.9114959114959115,0.43000000000000005,0.7294117647058823,0.8051948051948052,0.7654320987654321,0.7888040712468194
XGBoost + log1p without scaling,2.1,0.911014911014911,0.44000000000000006,0.7209302325581395,0.8051948051948052,0.7607361963190185,0.7868020304568528
XGBoost + log1p without scaling,2.5,0.9098925765592432,0.45000000000000007,0.6888888888888889,0.8051948051948052,0.7425149700598802,0.7788944723618091
XGBoost + log1p without scaling,3.0,0.9071669071669072,0.5000000000000001,0.7294117647058823,0.8051948051948052,0.7654320987654321,0.7888040712468194
XGBoost without scaling/log transform,1.0,0.9135802469135803,0.34,0.7560975609756098,0.8051948051948052,0.779874213836478,0.7948717948717948
XGBoost without scaling/log transform,1.5,0.9099727433060766,0.42000000000000004,0.7654320987654321,0.8051948051948052,0.7848101265822784,0.7969151670951157
XGBoost without scaling/log transform,2.0,0.9107744107744107,0.4800000000000001,0.775,0.8051948051948052,0.7898089171974523,0.7989690721649485
XGBoost without scaling/log transform,2.1,0.9092512425845759,0.49000000000000005,0.775,0.8051948051948052,0.7898089171974523,0.7989690721649485
XGBoost without scaling/log transform,2.5,0.9091710758377425,0.5200000000000001,0.7654320987654321,0.8051948051948052,0.7848101265822784,0.7969151670951157
XGBoost without scaling/log transform,3.0,0.9071669071669072,0.5300000000000001,0.7654320987654321,0.8051948051948052,0.7848101265822784,0.7969151670951157
